Year,Month,Date,NumVisitors,annualGrowthRate
2019년,5월,2019-05-01,8.0273,0.0508450169527026
2019년,6월,2019-06-01,6.877,0.0672605375876838
2019년,7월,2019-07-01,7.2797,0.1611107566670919
2019년,8월,2019-08-01,9.3694,0.3076074972436604
2019년,9월,2019-09-01,9.5639,0.2347366926165486
2019년,10월,2019-10-01,12.506,0.389154244329416
2019년,11월,2019-11-01,13.9176,0.3864637086330218
2019년,12월,2019-12-01,16.0667,0.470420807936595
2020년,1월,2020-01-01,15.2937,0.30742203528929
2020년,2월,2020-02-01,2.2486,-0.8034870002184837
2020년,3월,2020-03-01,0.0674,-0.9928983109781154
2020년,4월,2020-04-01,0.0124,-0.9984541351883712
2020년,5월,2020-05-01,0.0117,-0.9985424738081298
2020년,6월,2020-06-01,0.0164,-0.9976152392031408
2020년,7월,2020-07-01,0.0333,-0.9954256356717996
2020년,8월,2020-08-01,0.06,-0.9935961747817365
2020년,9월,2020-09-01,0.0447,-0.9953261744685744
2020년,10월,2020-10-01,0.0336,-0.997313289620982
2020년,11월,2020-11-01,0.0309,-0.9977797896188998
2020년,12월,2020-12-01,0.0384,-0.997609963464806
2021년,1월,2021-01-01,0.0331,-0.9978357101290074
2021년,2월,2021-02-01,0.0289,-0.9871475584808324
2021년,3월,2021-03-01,0.0314,-0.5341246290801187
2021년,4월,2021-04-01,0.0394,2.177419354838709
2021년,5월,2021-05-01,0.0235,1.0085470085470083
2021년,6월,2021-06-01,0.0082,-0.5
2021년,7월,2021-07-01,0.0129,-0.6126126126126126
2021년,8월,2021-08-01,0.0302,-0.4966666666666667
2021년,9월,2021-09-01,0.0394,-0.1185682326621924
2021년,10월,2021-10-01,0.0287,-0.1458333333333333
2021년,11월,2021-11-01,0.0248,-0.1974110032362459
2021년,12월,2021-12-01,0.0295,-0.2317708333333333
2022년,1월,2022-01-01,0.0294,-0.1117824773413896
2022년,2월,2022-02-01,0.0359,0.2422145328719722
2022년,3월,2022-03-01,0.0406,0.2929936305732483
2022년,4월,2022-04-01,0.0442,0.1218274111675126
2022년,5월,2022-05-01,0.0493,1.097872340425532
2022년,6월,2022-06-01,0.0558,5.804878048780488
2022년,7월,2022-07-01,0.1181,8.155038759689923
2022년,8월,2022-08-01,0.1598,4.291390728476821
2022년,9월,2022-09-01,0.1408,2.5736040609137056
2022년,10월,2022-10-01,0.4867,15.958188153310104
2022년,11월,2022-11-01,1.324,52.38709677419355
2022년,12월,2022-12-01,2.6902,90.19322033898304
2023년,1월,2023-01-01,3.6536,123.2721088435374
2023년,2월,2023-02-01,5.9195,163.88857938718664
2023년,3월,2023-03-01,5.23,127.8177339901478
2023년,4월,2023-04-01,5.895,132.3710407239819
