Year,Month,Date,NumVisitors,annualGrowthRate
2022년,1월,2022-01-01,0.0,0.0
2022년,2월,2022-02-01,0.0,0.0
2022년,3월,2022-03-01,0.0,0.0
2022년,4월,2022-04-01,0.0,0.0
2022년,5월,2022-05-01,0.0,0.0
2022년,6월,2022-06-01,0.0,0.0
2022년,7월,2022-07-01,0.0,0.0
2022년,8월,2022-08-01,17.3599,0.0
2022년,9월,2022-09-01,11.9636,0.0
2022년,10월,2022-10-01,13.0185,0.0
2022년,11월,2022-11-01,14.4258,0.0
2022년,12월,2022-12-01,20.1489,0.0
2023년,1월,2023-01-01,25.8946,0.0
2023년,2월,2023-02-01,30.1343,0.0
2023년,3월,2023-03-01,25.0649,0.0
2023년,4월,2023-04-01,25.9357,0.0
2023년,5월,2023-05-01,24.7538,0.0
